City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,port augusta,-32.5,137.7667,65.93,53,16,14.5,AU,1695257046
211,port hueneme,34.1478,-119.1951,73.33,75,75,13.8,US,1695257292
212,erenhot,43.6475,111.9767,63.73,30,59,6.96,CN,1695257339
213,mwanza,-2.5167,32.9,72.66,72,93,5.91,TZ,1695257286
214,rio grande,-32.035,-52.0986,68.11,98,44,10.49,BR,1695257285
215,tangalle,6.024,80.7911,77.16,90,69,7.25,LK,1695257355
216,nova vicosa,-17.8919,-39.3719,73.36,77,0,10.04,BR,1695257355
217,sitka,57.0531,-135.33,55.29,76,100,12.66,US,1695257082
218,port alfred,-33.5906,26.891,57.09,81,5,6.55,ZA,1695257045
219,malindi,-3.2175,40.1191,76.21,85,1,12.55,KE,1695257355
220,gasa,31.5,34.4667,77.23,71,1,7.23,PS,1695257355
221,cyangugu,-2.4846,28.9075,61.47,90,100,0.94,RW,1695257355
222,chernyshkovskiy,48.4219,42.2308,58.89,56,0,5.26,RU,1695257356
223,okhotsk,59.3833,143.3,44.17,77,100,20.92,RU,1695257357
224,selfoss,63.9331,-20.9971,41.04,68,0,11.07,IS,1695257358
225,la ronge,55.1001,-105.2842,57.45,62,100,3.44,CA,1695257358
226,palmer,42.1584,-72.3287,60.35,74,20,0.0,US,1695257191
227,salekhard,66.53,66.6019,48.83,90,100,14.16,RU,1695257358
228,gamba,-2.65,10.0,74.89,89,61,7.47,GA,1695257359
229,zaozersk,69.4005,32.4476,35.22,78,64,6.64,RU,1695257363
230,uturoa,-16.7333,-151.4333,76.17,73,49,13.42,PF,1695257366
231,machico,32.7,-16.7667,71.01,80,20,3.44,PT,1695257381
232,kenai,60.5544,-151.2583,46.49,91,100,12.66,US,1695257381
233,murzuq,25.9155,13.9184,77.2,31,76,6.69,LY,1695257383
234,fort mcmurray,56.7268,-111.381,63.99,48,0,9.22,CA,1695257217
235,kiffa,16.6166,-11.4045,91.96,43,46,6.53,MR,1695257383
236,porto torres,40.835,8.3972,71.78,80,99,7.87,IT,1695257383
237,hermanus,-34.4187,19.2345,55.15,77,0,12.93,ZA,1695257383
238,andergrove,-21.0833,149.1833,86.65,60,0,6.6,AU,1695257386
239,luderitz,-26.6481,15.1594,57.07,76,0,16.04,NA,1695257386
240,ulsteinvik,62.3432,5.8487,59.31,94,100,10.0,NO,1695257388
241,pathein,16.7833,94.7333,79.27,91,100,2.1,MM,1695257388
242,kone,-21.0595,164.8658,77.18,75,65,6.49,NC,1695257403
243,nadi,-17.8,177.4167,80.6,65,40,13.8,FJ,1695257295
244,sejenane,37.0572,9.2381,76.15,64,5,7.72,TN,1695257406
245,praia da vitoria,38.7333,-27.0667,67.75,88,40,17.31,PT,1695257407
246,solnechnyy,50.7214,136.6319,55.49,44,91,6.98,RU,1695257408
247,udachny,66.4167,112.4,37.45,74,57,12.64,RU,1695257423
248,levuka,50.1834,-105.4011,67.82,27,75,9.22,CA,1695257423
249,pirot,43.1531,22.5861,65.66,69,93,2.98,RS,1695257423
250,ilulissat,69.2167,-51.1,26.62,80,71,4.61,GL,1695257082
251,sur,22.5667,59.5289,83.7,68,65,9.86,OM,1695257423
252,dryden,49.7833,-92.7503,70.09,60,0,4.61,CA,1695257410
253,san-pedro,4.7485,-6.6363,75.63,95,58,4.94,CI,1695257424
254,bowen,-20.0167,148.2333,75.22,65,0,7.92,AU,1695257424
255,new norfolk,-42.7826,147.0587,53.1,53,47,6.69,AU,1695257424
256,uglegorsk,49.0833,142.0333,56.46,50,0,17.45,RU,1695257424
257,tazacorte,28.629,-17.9293,72.57,78,75,8.05,ES,1695257424
258,francistown,-21.17,27.5079,70.84,33,0,7.49,BW,1695257425
259,gao,16.6362,1.637,92.91,33,99,12.01,ML,1695257425
260,keren,15.7778,38.4581,69.26,79,59,1.03,ER,1695257425
261,berezovyy,51.6667,135.7,54.52,45,7,6.71,RU,1695257425
262,bandarbeyla,9.4942,50.8122,78.73,78,96,22.01,SO,1695257425
263,iquitos,-3.7481,-73.2472,80.64,78,75,3.44,PE,1695257425
264,the pas,53.8251,-101.2541,64.42,55,40,2.3,CA,1695257426
265,le port,-20.9373,55.2919,73.36,82,0,4.45,RE,1695257426
266,mbala,-8.8402,31.3659,65.98,51,39,4.38,ZM,1695257426
267,tolanaro,-25.0319,46.9987,68.07,94,0,4.61,MG,1695257426
268,flying fish cove,-10.4217,105.6791,76.68,78,75,11.5,CX,1695257426
269,remire-montjoly,4.9167,-52.2667,78.84,83,0,0.0,GF,1695257426
270,ain leuh,33.2921,-5.3384,60.39,62,41,1.86,MA,1695257427
271,oroqen zizhiqi,50.5667,123.7167,58.3,49,12,4.36,CN,1695257427
272,paredon,16.0333,-93.8667,81.16,81,6,3.11,MX,1695257430
273,chos malal,-37.3781,-70.2709,52.75,52,100,6.62,AR,1695257433
274,broken hill,-31.95,141.4333,62.44,49,2,15.35,AU,1695257434
275,chonchi,-42.6128,-73.8092,46.11,87,100,1.05,CL,1695257434
276,el bolson,-41.9667,-71.5167,41.72,99,100,3.65,AR,1695257438
277,prince rupert,54.3161,-130.3201,51.49,100,100,4.61,CA,1695257408
278,taltal,-25.4,-70.4833,63.01,68,23,4.97,CL,1695257421
279,cabo san lucas,22.8909,-109.9124,94.3,63,5,14.83,MX,1695257429
280,undurkhaan,47.3194,110.6556,53.98,52,2,2.95,MN,1695257441
281,viana do castelo,41.6932,-8.8329,65.98,95,100,21.61,PT,1695257441
282,la passe,45.5549,-0.8967,68.99,85,100,9.13,FR,1695257442
283,saipan,15.1355,145.701,88.5,70,40,16.11,MP,1695257443
284,tidjikja,18.5564,-11.4271,89.98,41,12,11.74,MR,1695257443
285,vanino,49.0869,140.2543,57.87,35,0,12.64,RU,1695257443
286,leh,34.1667,77.5833,51.58,59,3,6.29,IN,1695257458
287,barra de santo antonio,-9.4047,-35.5072,72.68,83,26,10.11,BR,1695257458
288,minusinsk,53.7103,91.6875,46.42,81,98,1.99,RU,1695257458
289,mogadishu,2.0371,45.3438,77.32,87,74,14.23,SO,1695257307
290,sydney,-33.8679,151.2073,75.54,30,0,5.99,AU,1695257069
291,soto la marina,23.7667,-98.2167,82.35,74,0,10.54,MX,1695257459
292,wanning,18.8003,110.3967,84.99,75,10,2.53,CN,1695257459
293,novoazovs'k,47.1139,38.086,64.22,61,0,13.69,UA,1695257459
294,changji,44.0167,87.3167,59.79,82,75,4.47,CN,1695257406
295,ibshaway,29.358,30.6814,73.81,76,0,9.46,EG,1695257459
296,cukurca,37.2481,43.6136,63.07,38,0,6.29,TR,1695257460
297,guangyuan,32.442,105.823,67.26,75,0,5.23,CN,1695257460
298,lamu,-2.2717,40.902,75.42,84,25,12.77,KE,1695257460
299,betio village,1.358,172.9211,86.04,82,100,17.4,KI,1695257460
300,augusto correa,-1.0217,-46.635,79.02,84,6,5.64,BR,1695257460
301,marhaura,25.9667,84.8667,82.33,90,51,10.78,IN,1695257460
302,saint-pierre,-21.3393,55.4781,69.48,68,0,4.61,RE,1695257460
303,ilaro,6.8865,3.0205,74.01,96,100,2.48,NG,1695257461
304,tocopilla,-22.092,-70.1979,66.94,67,3,9.78,CL,1695257476
305,vila franca do campo,37.7167,-25.4333,71.89,99,100,4.43,PT,1695257476
306,conde,-7.2597,-34.9075,76.46,83,75,10.36,BR,1695257476
307,fort bragg,35.139,-79.006,73.81,72,0,3.44,US,1695257477
308,anna regina,7.2644,-58.5077,81.75,78,18,7.99,GY,1695257477
309,tual,-5.6667,132.75,77.65,84,98,14.92,ID,1695257477
310,ibaiti,-23.8486,-50.1878,67.78,74,44,3.91,BR,1695257477
311,langelsheim,51.9333,10.3333,64.65,74,1,6.53,DE,1695257477
312,chipinge,-20.1883,32.6236,62.35,55,0,3.47,ZW,1695257477
313,surahammar,59.7072,16.2219,61.86,88,100,9.01,SE,1695257477
314,revuca,48.6835,20.1173,53.56,88,20,1.74,SK,1695257479
315,vernon,50.2581,-119.2691,65.01,49,99,8.99,CA,1695257479
316,ingeniero jacobacci,-41.3427,-69.5448,37.78,88,100,1.95,AR,1695257479
317,myeik,12.4333,98.6,79.07,88,100,4.68,MM,1695257480
318,charters towers,-20.1,146.2667,84.27,34,6,3.85,AU,1695257483
319,arar,30.9753,41.0381,80.62,13,0,3.44,SA,1695257498
320,minas,-34.3759,-55.2377,59.09,96,100,17.81,UY,1695257499
321,sao tome,0.3365,6.7273,78.84,89,75,4.61,ST,1695257499
322,rongelap,11.1635,166.8941,83.39,77,34,11.95,MH,1695257499
323,qarazhal,48.0078,70.7903,54.39,77,100,4.23,KZ,1695257499
324,qandala,11.472,49.8728,89.4,56,10,3.96,SO,1695257499
325,dudinka,69.4058,86.1778,40.62,94,100,9.6,RU,1695257499
326,guankou,28.15,113.6333,69.6,96,100,3.67,CN,1695257500
327,twon-brass,4.3151,6.2418,78.69,86,16,4.34,NG,1695257500
328,realico,-35.0366,-64.2447,52.7,95,100,9.89,AR,1695257500
329,ta`u,-14.2336,-169.5144,78.94,63,20,20.22,AS,1695257500
